source,Instrument,rows,date_min,date_max,missing_return,missing_close,missing_dollar_volume,missing_spread
prices,MPWR.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,MRVL.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,MSFT.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,MU.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,NOW.N,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,NTAP.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,NVDA.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,NXPI.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,ON.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,ORCL.N,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,PLTR.OQ,1490,2020-09-30,2026-09-04,,0.0,0.0,0.0
prices,QCOM.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,ROK.N,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,SNDK.OQ,392,2025-02-13,2026-09-04,,0.0,0.0,0.0
prices,SNPS.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,SPY.P,3228,2013-11-04,2026-09-04,,0.0,0.0,1.0
prices,STX.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,TER.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,TRMB.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,TSLA.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,TT.N,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
prices,TXN.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,VRT.N,2037,2018-07-30,2026-09-04,,51.0,31.0,0.0
prices,WDC.OQ,3228,2013-11-04,2026-09-04,,0.0,0.0,0.0
prices,ZBRA.OQ,3229,2013-11-01,2026-09-04,,0.0,0.0,0.0
