Date,event,is_performance_observation,is_elapsed_return_session,gross_return_before_current_cost,stock_return_contribution,spy_hedge_return_contribution,spread_cost,spread_cost_return,net_return,pre_cost_compounded_nav_diagnostic,net_nav,turnover,spy_return,stock_gross,spy_weight,net_exposure,cash_weight,active_stock_positions
2021-01-04,REBALANCE,True,False,0.0,0.0,0.0,0.00010948216504183672,-0.00010948216504183672,-0.00010948216504180763,1.0,0.9998905178349582,0.5,0.0,0.4289427041823994,-0.5711667899702992,-0.14222408578789986,1.1422240857878998,8
2021-01-05,HOLD,True,True,-0.0010333588061560706,0.002900488767242096,-0.003933847573398186,0.0,-0.0,-0.0010333588061560706,0.9989666411938439,0.9988572721631614,0.0,0.006887388487,0.4322899035282648,-0.5756955375971382,-0.14340563406887344,1.1434056340688734,8
2021-01-06,HOLD,True,True,-0.005884603341766215,-0.002442801996933244,-0.0034418013448329903,0.0,-0.0,-0.005884603341766215,0.9930881187587617,0.9929793933214426,0.0,0.005978509681,0.4323915543168158,-0.5825655058645797,-0.15017395154776386,1.1501739515477638,8
2021-01-07,HOLD,True,True,0.008158217484352859,0.016813654661546877,-0.008655437177194223,0.0,-0.0,0.008158217484352859,1.0011899476127224,1.0010803351696396,0.0,0.014857448802,0.44557015078373313,-0.5864366651863848,-0.14086651440265166,1.1408665144026515,8
2021-01-08,HOLD,True,True,0.002526307454348453,0.0058676506271301224,-0.0033413431727815266,0.0,-0.0,0.002526307454348453,1.0037192612405952,1.0036093718827803,0.0,0.005697705091,0.45030020464716847,-0.5882918023934476,-0.1379915977462792,1.1379915977462791,8
2021-01-11,HOLD,True,True,0.0024939484526576017,-0.0014716129287120805,0.0039655613813697164,0.0,-0.0,0.0024939484526576017,1.0062224853390689,1.00611232192286,0.0,-0.006740806799,0.4477120210164063,-0.5828725868260665,-0.13516056580966018,1.1351605658096602,8
2021-01-12,HOLD,True,True,0.0018069795070720929,0.001930114015258646,-0.0001231345081864349,0.0,-0.0,0.0018069795070720929,1.0080407087496317,1.0079303462703875,0.0,0.000211254588,0.44883110642022706,-0.5819441601625788,-0.13311305374235172,1.1331130537423517,8
2021-01-13,HOLD,True,True,-0.00492520587454548,-0.0033580726714654676,-0.0015671332030802135,0.0,-0.0,-0.00492520587454548,1.003075900729117,1.0029660818078039,0.0,0.002692927106,0.44767793976760945,-0.586399431289476,-0.13872149152186664,1.1387214915218664,8
2021-01-14,HOLD,True,True,-4.846373990696762e-05,-0.00210199659651137,0.0020535328566044933,0.0,-0.0,-4.846373990696762e-05,1.0030272879195572,1.0029174743204796,0.0,-0.0035019352799999,0.44559753849430683,-0.5843742193930486,-0.13877668089874168,1.1387766808987418,8
2021-01-15,HOLD,True,True,-0.0011015803397697033,-0.005363253556289983,0.0042616732165203135,0.0,-0.0,-0.0011015803397697033,1.0019223727789326,1.0018126801483567,0.0,-0.0072927125719999,0.44071977317549477,-0.5807522914831023,-0.1400325183076075,1.1400325183076077,8
