source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
ai,etf_aiq_volatility_20_ann,True,False,0.3851473241130487,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_aiq_volatility_60_ann,True,False,0.4052916416115454,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_aiq_max_drawdown_60,True,False,0.4052916416115454,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_momentum_5,True,False,0.18069753457606735,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_momentum_20,True,False,0.20565243535778713,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_momentum_60,True,False,0.22399278412507517,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_volatility_20_ann,True,False,0.20565243535778713,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_volatility_60_ann,True,False,0.22399278412507517,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_botz_max_drawdown_60,True,False,0.22399278412507517,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_momentum_5,True,False,0.282922429344558,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_momentum_20,True,False,0.28502705953096813,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_momentum_60,True,False,0.30517137702946484,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_volatility_20_ann,True,False,0.28502705953096813,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_volatility_60_ann,True,False,0.30517137702946484,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,etf_igv_max_drawdown_60,True,False,0.30517137702946484,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness,False,False
ai,spy_momentum_5,True,False,0.0,exclude_duplicate_control,exact name overlap with baseline SPY control,True,False
ai,soxx_relative_spy_return_5,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,True
ai,spy_momentum_20,True,False,0.0,exclude_duplicate_control,exact name overlap with baseline SPY control,True,False
ai,soxx_relative_spy_return_20,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,True
ai,spy_momentum_60,True,False,0.0,exclude_duplicate_control,exact name overlap with baseline SPY control,True,False
ai,soxx_relative_spy_return_60,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,True
ai,spy_return_1,True,False,0.0,exclude_duplicate_control,one-session SPY control is formula-equivalent in intent but source differs,False,True
ai,pool_breadth_up_1,True,True,0.0,safe_candidate,strictly prior-session AI industry state with usable anchor coverage,False,False
