ric,canonical_name,primary_group,evidence_group,matched_terms,segment_name,period_end,orig_announcement_dates,pit_date_available,raw_file,raw_row,raw_text,reason_code
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2021-12-31,2022-02-16,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,86,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2021,2021-12-31,6635537000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2021-12-31,2022-02-16,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,86,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2021,2021-12-31,6635537000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2022-12-31,2023-02-15,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,87,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2022,2022-12-31,7263105000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2022-12-31,2023-02-15,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,87,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2022,2022-12-31,7263105000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2023-12-31,2024-02-14,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,88,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2023,2023-12-31,8188136000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2023-12-31,2024-02-14,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,88,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2023,2023-12-31,8188136000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2024-12-31,2025-02-12,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,89,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2024,2024-12-31,8748000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2024-12-31,2025-02-12,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,89,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2024,2024-12-31,8748000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2025-12-31,2026-02-11,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,90,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2025,2025-12-31,9217000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2025-12-31,2026-02-11,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,90,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2025,2025-12-31,9217000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
HPE.N,Hewlett Packard Enterprise Company,server_network,gpu_accelerator,AI,HPC & AI,2020-10-31,2020-12-01,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_014.csv,151,"HPE.N,513210, 423430, 334111,HPC & AI,FY2020,2020-10-31,2965000000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
