feature_set,model,transformed_feature,base_feature,missing_indicator,importance
technical_only,logistic,momentum_1,momentum_1,False,0.13918543095986763
technical_only,logistic,momentum_5,momentum_5,False,0.1230511064337893
technical_only,logistic,momentum_20,momentum_20,False,0.09775443543795574
technical_only,logistic,momentum_60,momentum_60,False,0.11972392302165649
technical_only,logistic,volatility_20_ann,volatility_20_ann,False,0.09285406441165758
technical_only,logistic,volatility_60_ann,volatility_60_ann,False,0.2096082911365916
technical_only,logistic,volume_median_20_log1p,volume_median_20_log1p,False,0.21616760301867846
technical_only,logistic,volume_median_60_log1p,volume_median_60_log1p,False,0.11944460513201853
technical_only,logistic,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.186426363389878
technical_only,logistic,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.18700049784834974
technical_only,logistic,spread_median_20_bps,spread_median_20_bps,False,0.023006415134058673
technical_only,logistic,spread_median_60_bps,spread_median_60_bps,False,0.008972980257040531
technical_only,logistic,beta_126,beta_126,False,0.06804634524189013
technical_only,logistic,idio_vol_126_ann,idio_vol_126_ann,False,0.12835125734753292
technical_only,logistic,beta_obs_126,beta_obs_126,False,0.018622487776798563
technical_only,logistic,spy_momentum_1,spy_momentum_1,False,0.0019106725538274591
technical_only,logistic,spy_momentum_5,spy_momentum_5,False,0.06673660146129944
technical_only,logistic,spy_momentum_20,spy_momentum_20,False,0.002714829849330292
technical_only,logistic,spy_momentum_60,spy_momentum_60,False,0.22482656169854381
technical_only,logistic,spy_volatility_20_ann,spy_volatility_20_ann,False,0.1249779461265378
technical_only,logistic,spy_volatility_60_ann,spy_volatility_60_ann,False,0.2184988766929642
technical_only,logistic,missingindicator_spread_median_60_bps,spread_median_60_bps,True,0.17660005055553255
technical_only,random_forest,momentum_1,momentum_1,False,0.09149319340869176
technical_only,random_forest,momentum_5,momentum_5,False,0.10152415288896678
technical_only,random_forest,momentum_20,momentum_20,False,0.041462350207995435
technical_only,random_forest,momentum_60,momentum_60,False,0.023781838549594522
technical_only,random_forest,volatility_20_ann,volatility_20_ann,False,0.10011841466681531
technical_only,random_forest,volatility_60_ann,volatility_60_ann,False,0.06633464166016476
technical_only,random_forest,volume_median_20_log1p,volume_median_20_log1p,False,0.044525226468318684
technical_only,random_forest,volume_median_60_log1p,volume_median_60_log1p,False,0.05332810281888044
technical_only,random_forest,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.021344022997353704
technical_only,random_forest,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.025874651817723783
technical_only,random_forest,spread_median_20_bps,spread_median_20_bps,False,0.013797726322270361
technical_only,random_forest,spread_median_60_bps,spread_median_60_bps,False,0.011428720530019991
technical_only,random_forest,beta_126,beta_126,False,0.026902781027061118
technical_only,random_forest,idio_vol_126_ann,idio_vol_126_ann,False,0.04170050931258065
technical_only,random_forest,beta_obs_126,beta_obs_126,False,0.0
technical_only,random_forest,spy_momentum_1,spy_momentum_1,False,0.05381338323337638
technical_only,random_forest,spy_momentum_5,spy_momentum_5,False,0.036422295791501476
technical_only,random_forest,spy_momentum_20,spy_momentum_20,False,0.04289755454935861
technical_only,random_forest,spy_momentum_60,spy_momentum_60,False,0.0942054291228632
