formation_session,Instrument,old_weight,new_weight,delta_weight,quoted_spread_bps,spread_cost,turnover_contribution,reason_code
2021-01-04,SPY.P,0.0,-0.5711042573935333,-0.5711042573935333,0.8133277304097696,2.3224746474661967e-05,0.28555212869676666,SCHEDULED_REBALANCE
2021-01-04,NVDA.OQ,0.0,0.05361196782580833,0.05361196782580833,3.8121378469037857,1.0218810579787598e-05,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,TER.OQ,0.0,0.05361196782580833,0.05361196782580833,6.710283509478133,1.7987575180609693e-05,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,GOOG.OQ,0.0,0.05361196782580833,0.05361196782580833,3.702632340178938,9.92527029462353e-06,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,CSCO.OQ,0.0,0.05361196782580833,0.05361196782580833,4.546487838145745,1.2187307984954926e-05,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,ORCL.N,0.0,0.05361196782580833,0.05361196782580833,1.5685044310247056,4.204530454536716e-06,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,AMD.OQ,0.0,0.05361196782580833,0.05361196782580833,4.334633723449506,1.1619412185911933e-05,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,NTAP.OQ,0.0,0.05361196782580833,0.05361196782580833,4.625703492406312,1.239965334033082e-05,0.026805983912904164,SCHEDULED_REBALANCE
2021-01-04,TSLA.OQ,0.0,0.05361196782580833,0.05361196782580833,2.8780359532729807,7.714858546419533e-06,0.026805983912904164,SCHEDULED_REBALANCE
2021-03-05,TRMB.OQ,0.0,0.06032394050878629,0.06032394050878629,1.415127715277028,4.147578029516189e-06,0.030161970254393145,SCHEDULED_REBALANCE
2021-03-05,SPY.P,-0.6113777114312494,-0.7754250804392493,-0.16404736900799988,0.2606916148554529,2.0778086860935575e-06,0.08202368450399994,SCHEDULED_REBALANCE
2021-03-05,NOW.N,0.0,0.0603239405087863,0.0603239405087863,10.06749329689849,2.9506675305517217e-05,0.03016197025439315,SCHEDULED_REBALANCE
2021-03-05,HPE.N,0.0,0.0603239405087863,0.0603239405087863,6.94203401596653,2.0346310409969123e-05,0.03016197025439315,SCHEDULED_REBALANCE
2021-03-05,TER.OQ,0.05276239237670074,0.0603239405087863,0.007561548132085559,4.389237589430467,1.6125345790579987e-06,0.0037807740660427795,SCHEDULED_REBALANCE
2021-03-05,GOOG.OQ,0.06731321265369516,0.0,-0.06731321265369516,5.265692118303424,1.7221263298254198e-05,0.03365660632684758,SCHEDULED_REBALANCE
2021-03-05,MPWR.OQ,0.0,0.0603239405087863,0.0603239405087863,22.855080744595917,6.698563651588692e-05,0.03016197025439315,SCHEDULED_REBALANCE
2021-03-05,CSCO.OQ,0.05804657243148747,0.0,-0.05804657243148747,2.163331530556628,6.1011104345792006e-06,0.029023286215743734,SCHEDULED_REBALANCE
2021-03-05,AMD.OQ,0.046935464141636254,0.0603239405087863,0.013388476367150043,2.546797402267953,1.656665316731189e-06,0.006694238183575021,SCHEDULED_REBALANCE
2021-03-05,WDC.OQ,0.0,0.0603239405087863,0.0603239405087863,1.468921387120954,4.305241149995173e-06,0.03016197025439315,SCHEDULED_REBALANCE
2021-03-05,NVDA.OQ,0.05242932039156349,0.0603239405087863,0.007894620117222806,5.0164036399021965,1.924123469068609e-06,0.003947310058611403,SCHEDULED_REBALANCE
2021-03-05,ORCL.N,0.06078785939611737,0.0,-0.06078785939611737,2.859593937660283,8.445598735929901e-06,0.030393929698058684,SCHEDULED_REBALANCE
2021-03-05,NTAP.OQ,0.052553561104402124,0.0,-0.052553561104402124,14.68788249694058,3.75033933426005e-05,0.026276780552201062,SCHEDULED_REBALANCE
2021-03-05,TSLA.OQ,0.04520655277743217,0.0603239405087863,0.015117387731354126,1.3389248164596153,9.834270929548115e-07,0.007558693865677063,SCHEDULED_REBALANCE
2021-05-05,TRMB.OQ,0.0713159753321004,0.073958345835026,0.002642370502925595,1.2329696072998109,1.5367297414470596e-07,0.0013211852514627975,SCHEDULED_REBALANCE
2021-05-05,AMZN.OQ,0.0,0.073958345835026,0.073958345835026,4.860386171436881,1.695545225329579e-05,0.036979172917513,SCHEDULED_REBALANCE
2021-05-05,SPY.P,-0.8684400307042195,-0.9064528280820188,-0.03801279737779928,0.2405436286004186,4.3129567319372605e-07,0.01900639868889964,SCHEDULED_REBALANCE
2021-05-05,NOW.N,0.06124467302722109,0.0,-0.06124467302722109,0.208261743360048,6.016296515677306e-07,0.030622336513610546,SCHEDULED_REBALANCE
2021-05-05,HPE.N,0.06942420494549893,0.073958345835026,0.004534140889527069,6.267627702915427,1.3404469006769822e-06,0.0022670704447635345,SCHEDULED_REBALANCE
2021-05-05,TER.OQ,0.0679302016718589,0.0,-0.0679302016718589,8.028259473345722,2.572383510113674e-05,0.03396510083592945,SCHEDULED_REBALANCE
