Date,Instrument,holding_value,weight
2021-01-04,SPY.P,-0.5711042573935333,-0.5711667899702992
2021-01-04,NVDA.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,TER.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,GOOG.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,CSCO.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,ORCL.N,0.05361196782580833,0.05361783802279992
2021-01-04,AMD.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,NTAP.OQ,0.05361196782580833,0.05361783802279992
2021-01-04,TSLA.OQ,0.05361196782580833,0.05361783802279992
2021-01-05,SPY.P,-0.5750376742807822,-0.5756955375971382
2021-01-05,NVDA.OQ,0.05480268621747748,0.05486538241724445
2021-01-05,TER.OQ,0.05464651372732488,0.05470903126027247
2021-01-05,GOOG.OQ,0.054005315828420206,0.05406709980842842
2021-01-05,CSCO.OQ,0.05363635907597343,0.053697720956485194
2021-01-05,ORCL.N,0.0529475999107768,0.05300817382658842
2021-01-05,AMD.OQ,0.05388496484509531,0.053946611139347345
2021-01-05,NTAP.OQ,0.05386820757335415,0.05392983469669817
2021-01-05,TSLA.OQ,0.05400426664349654,0.05406604942320032
2021-01-06,SPY.P,-0.5784755425834097,-0.5825655058645798
2021-01-06,NVDA.OQ,0.05157190438394077,0.05193653033567652
2021-01-06,TER.OQ,0.05506033208789989,0.055449622074962866
2021-01-06,GOOG.OQ,0.053830666833568165,0.05421126278714463
2021-01-06,CSCO.OQ,0.05414857532911173,0.05453141897334723
2021-01-06,ORCL.N,0.052821454104137355,0.05319491467738671
2021-01-06,AMD.OQ,0.05246770372378791,0.052838663195504315
2021-01-06,NTAP.OQ,0.053917802363176,0.05429901438621495
2021-01-06,TSLA.OQ,0.05553746445720552,0.055930127886578605
2021-01-07,SPY.P,-0.5870702133405519,-0.586436665186385
2021-01-07,NVDA.OQ,0.05455432178044105,0.05449544843091586
2021-01-07,TER.OQ,0.05843385133188334,0.05837079131314807
2021-01-07,GOOG.OQ,0.05544252505247016,0.055382693181237126
2021-01-07,CSCO.OQ,0.05483153033328366,0.05477235782879714
2021-01-07,ORCL.N,0.053243552986223935,0.053186094178147535
2021-01-07,AMD.OQ,0.055273183730300074,0.05521353460702401
2021-01-07,NTAP.OQ,0.05432282648025073,0.05426420295334779
2021-01-07,TSLA.OQ,0.059949724193313444,0.05988502829111571
2021-01-08,SPY.P,-0.5904151662838768,-0.5882918023934479
2021-01-08,NVDA.OQ,0.05427938337071164,0.05408417347566517
2021-01-08,TER.OQ,0.059441409079420866,0.059227634520698284
2021-01-08,GOOG.OQ,0.05606170692409541,0.05586008709636016
