Date,event,is_return_day,gross_return,spread_cost,net_return,gross_nav,net_nav,turnover,spy_return,stock_gross,spy_weight,net_exposure,cash_weight,active_stock_positions
2021-01-04,REBALANCE,False,0.0,0.00010948216504183672,-0.00010948216504180763,1.0,0.9998905178349582,0.5,0.0,0.4289427041823994,-0.5711667899702992,-0.14222408578789986,1.1422240857878998,8
2021-01-05,HOLD,True,-0.0010333588061560706,0.0,-0.0010333588061560706,0.9989666411938439,0.9988572721631614,0.0,0.006887388487,0.4322899035282648,-0.5756955375971382,-0.14340563406887344,1.1434056340688734,8
2021-01-06,HOLD,True,-0.005884603341766326,0.0,-0.005884603341766326,0.9930881187587616,0.9929793933214425,0.0,0.005978509681,0.43239155431681586,-0.5825655058645798,-0.150173951547764,1.150173951547764,8
2021-01-07,HOLD,True,0.008158217484352637,0.0,0.008158217484352637,1.0011899476127222,1.0010803351696393,0.0,0.014857448802,0.4455701507837332,-0.586436665186385,-0.1408665144026518,1.1408665144026517,8
2021-01-08,HOLD,True,0.002526307454348453,0.0,0.002526307454348453,1.003719261240595,1.00360937188278,0.0,0.005697705091,0.4503002046471686,-0.5882918023934479,-0.1379915977462793,1.1379915977462793,8
2021-01-11,HOLD,True,0.0024939484526578237,0.0,0.0024939484526578237,1.0062224853390689,1.00611232192286,0.0,-0.006740806799,0.44771202101640634,-0.5828725868260666,-0.13516056580966024,1.1351605658096602,8
2021-01-12,HOLD,True,0.0018069795070720929,0.0,0.0018069795070720929,1.0080407087496317,1.0079303462703875,0.0,0.000211254588,0.4488311064202271,-0.5819441601625789,-0.1331130537423518,1.1331130537423517,8
2021-01-13,HOLD,True,-0.004925205874545702,0.0,-0.004925205874545702,1.0030759007291168,1.0029660818078037,0.0,0.002692927106,0.44767793976760956,-0.5863994312894762,-0.13872149152186675,1.1387214915218669,8
2021-01-14,HOLD,True,-4.846373990696762e-05,0.0,-4.846373990696762e-05,1.003027287919557,1.0029174743204794,0.0,-0.0035019352799999,0.44559753849430694,-0.5843742193930489,-0.1387766808987419,1.138776680898742,8
2021-01-15,HOLD,True,-0.0011015803397697033,0.0,-0.0011015803397697033,1.0019223727789324,1.0018126801483564,0.0,-0.0072927125719999,0.4407197731754949,-0.5807522914831026,-0.1400325183076077,1.1400325183076079,8
