sample_id,security_id,Instrument,formation_session,split,reference_session,p_up
fbbb1da8f1b9820868ec4678,CARR.N,CARR.N,2021-01-05,validation,2021-01-04,0.6640834682227639
96eae6ef41ecaf08632ddfc3,CDNS.OQ,CDNS.OQ,2021-01-05,validation,2021-01-04,0.5788357625045462
c822d8a20acc0141125f09c4,CSCO.OQ,CSCO.OQ,2021-01-05,validation,2021-01-04,0.6708723135786665
8848296017305882632b84eb,DELL.N,DELL.N,2021-01-05,validation,2021-01-04,0.6572459158030624
5c164e5c85f23ee7b39209a2,DLR.N,DLR.N,2021-01-05,validation,2021-01-04,0.6205634518485988
4882143376d0205210b8aa74,EQIX.OQ,EQIX.OQ,2021-01-05,validation,2021-01-04,0.5569206757372582
346dd5336650356d8930d166,ETN.N,ETN.N,2021-01-05,validation,2021-01-04,0.6032536214261316
9ca9ed6c932e0835b1a9bca2,GOOG.OQ,GOOG.OQ,2021-01-05,validation,2021-01-04,0.6815331106480088
ded98c1a1c29527556a16b78,HON.OQ,HON.OQ,2021-01-05,validation,2021-01-04,0.6592490020131933
3ca3808392c4104ef6534237,HPE.N,HPE.N,2021-01-05,validation,2021-01-04,0.6657563305037955
36104678f9f6b48b62d17e5e,IBM.N,IBM.N,2021-01-05,validation,2021-01-04,0.6052884261156829
c68ac8dc5d1da4318d798bca,INTC.OQ,INTC.OQ,2021-01-05,validation,2021-01-04,0.5672182169382074
ad43e53b1adc6211ef6722f7,IRM.N,IRM.N,2021-01-05,validation,2021-01-04,0.6552028041261797
29889f5fb068a2c2395292f8,ISRG.OQ,ISRG.OQ,2021-01-05,validation,2021-01-04,0.632901212577862
64a47ad2021ca1880c7086f7,JCI.N,JCI.N,2021-01-05,validation,2021-01-04,0.624988037054178
1aa2fd3e4deca6ffbfdfc1cc,JNPR.N^G25,JNPR.N^G25,2021-01-05,validation,2021-01-04,0.5981149002387925
98b203b6880f613bd91da329,META.OQ,META.OQ,2021-01-05,validation,2021-01-04,0.6387736613425365
5c27f64be56be4d060e42b52,MSFT.OQ,MSFT.OQ,2021-01-05,validation,2021-01-04,0.6883966741665374
61e9dac70662ea048d4ecd92,MU.OQ,MU.OQ,2021-01-05,validation,2021-01-04,0.6845820561665948
b527e98af4885a7653e0a62e,NOW.N,NOW.N,2021-01-05,validation,2021-01-04,0.6932623176985513
5cf2e553b244d13e5b36dea9,NTAP.OQ,NTAP.OQ,2021-01-05,validation,2021-01-04,0.6930082631968862
02ab3b576a66b4ad50f24c58,NVDA.OQ,NVDA.OQ,2021-01-05,validation,2021-01-04,0.6474265359941749
21f23674266e841985cdfe6b,ORCL.N,ORCL.N,2021-01-05,validation,2021-01-04,0.6804823205592836
fe64cf0c9545855764704d81,QCOM.OQ,QCOM.OQ,2021-01-05,validation,2021-01-04,0.6597150305966181
b32d14bd4fe3dfee9c938f07,ROK.N,ROK.N,2021-01-05,validation,2021-01-04,0.5938705495752257
2a0e0ac49567dc2197b02150,SNPS.OQ,SNPS.OQ,2021-01-05,validation,2021-01-04,0.6266576152217431
2d5601e4155edcf2c36ecd32,STX.OQ,STX.OQ,2021-01-05,validation,2021-01-04,0.7140290164902057
aa7bc509ce67422081dbf714,TER.OQ,TER.OQ,2021-01-05,validation,2021-01-04,0.6636647418008559
c5679210487460ec53d77198,TSLA.OQ,TSLA.OQ,2021-01-05,validation,2021-01-04,0.626871008444214
