formation_session,Instrument,old_weight,new_weight,delta_weight,side,execution_price,spread_source,quoted_spread_bps,spread_cost,turnover_contribution,mandatory_exit,reason_code
2021-01-04,AMD.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,92.3,EXECUTION_DAY_QUOTE,4.334633723449506,1.1619412185911933e-05,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,CSCO.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,43.96,EXECUTION_DAY_QUOTE,4.546487838145745,1.2187307984954926e-05,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,GOOG.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,86.412,EXECUTION_DAY_QUOTE,3.702632340178938,9.92527029462353e-06,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,NTAP.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,64.86,EXECUTION_DAY_QUOTE,4.625703492406312,1.239965334033082e-05,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,NVDA.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,13.1135,EXECUTION_DAY_QUOTE,3.8121378469037857,1.0218810579787598e-05,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,ORCL.N,0.0,0.05361196782580833,0.05361196782580833,BUY,63.75,EXECUTION_DAY_QUOTE,1.5685044310247056,4.204530454536716e-06,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,SPY.P,0.0,-0.5711042573935333,-0.5711042573935333,SELL,368.79,EXECUTION_DAY_QUOTE,0.8133277304097696,2.3224746474661967e-05,0.28555212869676666,False,SCHEDULED_REBALANCE
2021-01-04,TER.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,119.19,EXECUTION_DAY_QUOTE,6.710283509478133,1.7987575180609693e-05,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-01-04,TSLA.OQ,0.0,0.05361196782580833,0.05361196782580833,BUY,243.256423,EXECUTION_DAY_QUOTE,2.8780359532729807,7.714858546419533e-06,0.026805983912904164,False,SCHEDULED_REBALANCE
2021-03-05,AMD.OQ,0.046935464141636234,0.0603239405087863,0.013388476367150064,BUY,78.52,EXECUTION_DAY_QUOTE,2.546797402267953,1.6566653167311929e-06,0.006694238183575032,False,SCHEDULED_REBALANCE
2021-03-05,CSCO.OQ,0.05804657243148737,0.0,-0.05804657243148737,SELL,46.25,EXECUTION_DAY_QUOTE,2.163331530556628,6.1011104345791955e-06,0.029023286215743686,False,SCHEDULED_REBALANCE
2021-03-05,GOOG.OQ,0.06731321265369512,0.0,-0.06731321265369512,SELL,105.427,EXECUTION_DAY_QUOTE,5.265692118303424,1.7221263298254198e-05,0.03365660632684756,False,SCHEDULED_REBALANCE
2021-03-05,HPE.N,0.0,0.0603239405087863,0.0603239405087863,BUY,14.4,EXECUTION_DAY_QUOTE,6.94203401596653,2.0346310409969136e-05,0.03016197025439315,False,SCHEDULED_REBALANCE
2021-03-05,MPWR.OQ,0.0,0.0603239405087863,0.0603239405087863,BUY,332.91,EXECUTION_DAY_QUOTE,22.855080744595917,6.698563651588696e-05,0.03016197025439315,False,SCHEDULED_REBALANCE
2021-03-05,NOW.N,0.0,0.0603239405087863,0.0603239405087863,BUY,97.392,EXECUTION_DAY_QUOTE,10.06749329689849,2.9506675305517237e-05,0.03016197025439315,False,SCHEDULED_REBALANCE
2021-03-05,NTAP.OQ,0.05255356110440204,0.0,-0.05255356110440204,SELL,61.33,EXECUTION_DAY_QUOTE,14.68788249694058,3.750339334260046e-05,0.02627678055220102,False,SCHEDULED_REBALANCE
2021-03-05,NVDA.OQ,0.05242932039156344,0.0603239405087863,0.007894620117222854,BUY,12.4615,EXECUTION_DAY_QUOTE,5.0164036399021965,1.924123469068622e-06,0.003947310058611427,False,SCHEDULED_REBALANCE
2021-03-05,ORCL.N,0.06078785939611733,0.0,-0.06078785939611733,SELL,69.97,EXECUTION_DAY_QUOTE,2.859593937660283,8.445598735929901e-06,0.030393929698058667,False,SCHEDULED_REBALANCE
2021-03-05,SPY.P,-0.6113777114312484,-0.7754250804392493,-0.16404736900800088,SELL,383.63,EXECUTION_DAY_QUOTE,0.2606916148554529,2.077808686093572e-06,0.08202368450400044,False,SCHEDULED_REBALANCE
2021-03-05,TER.OQ,0.05276239237670068,0.0603239405087863,0.0075615481320856145,BUY,113.9,EXECUTION_DAY_QUOTE,4.389237589430467,1.6125345790580118e-06,0.0037807740660428073,False,SCHEDULED_REBALANCE
2021-03-05,TRMB.OQ,0.0,0.06032394050878629,0.06032394050878629,BUY,70.67,EXECUTION_DAY_QUOTE,1.415127715277028,4.147578029516191e-06,0.030161970254393145,False,SCHEDULED_REBALANCE
2021-03-05,TSLA.OQ,0.04520655277743211,0.0603239405087863,0.015117387731354189,BUY,199.316467,EXECUTION_DAY_QUOTE,1.3389248164596153,9.834270929548164e-07,0.007558693865677094,False,SCHEDULED_REBALANCE
2021-03-05,WDC.OQ,0.0,0.0603239405087863,0.0603239405087863,BUY,51.435326,EXECUTION_DAY_QUOTE,1.468921387120954,4.305241149995176e-06,0.03016197025439315,False,SCHEDULED_REBALANCE
