formation_session,reference_session,Instrument,active_member,current_price_row_present,previous_price_row_present,close_at_reference,one_session_return,moving_average_20,moving_average_60,return_valid,above_ma20_valid,above_ma20,above_ma60_valid,above_ma60,reason_code
2015-01-02,2014-12-31,ADI.OQ,True,True,True,55.52,-0.0006300063000629352,56.25599999999999,51.283500000000004,True,True,False,True,True,OK
2015-01-02,2014-12-31,AMT.N,True,True,True,98.85,-0.014849511660354864,99.755,98.53283333333334,True,True,False,True,True,OK
2015-01-02,2014-12-31,AMZN.OQ,True,True,True,15.5175,0.0001611343860778991,15.352487499999999,15.550829166666666,True,True,True,True,False,OK
2015-01-02,2014-12-31,APTV.N,True,True,True,51.596776,-0.00818330655901689,51.42045905,49.209692366666665,True,True,True,True,True,OK
2015-01-02,2014-12-31,AVGO.OQ,True,True,True,10.059,-0.0025780862667329485,10.03565,8.970216666666667,True,True,True,True,True,OK
2015-01-02,2014-12-31,CSCO.OQ,True,True,True,27.815,-0.019217207334273567,27.59175,25.8655,True,True,True,True,True,OK
2015-01-02,2014-12-31,ETN.N,True,True,True,67.96,-0.011778391740584593,67.91,66.13733333333333,True,True,True,True,True,OK
2015-01-02,2014-12-31,GOOG.OQ,True,True,True,26.247936,-0.007578912376732583,26.113903750000002,26.717546533333337,True,True,True,True,False,OK
2015-01-02,2014-12-31,HON.OQ,True,True,True,93.944687,-0.007942809415215302,93.5023233,90.27477678333334,True,True,True,True,True,OK
2015-01-02,2014-12-31,IBM.N,True,True,True,153.246512,0.0024367387840540378,152.5912696,157.58327509999998,True,True,True,True,False,OK
2015-01-02,2014-12-31,INTC.OQ,True,True,True,36.29,-0.012785636561479796,36.84825,34.850833333333334,True,True,False,True,True,OK
2015-01-02,2014-12-31,IRM.N,True,True,True,38.66,-0.02349078050012643,38.3135,36.475758166666665,True,True,True,True,True,OK
2015-01-02,2014-12-31,ISRG.OQ,True,True,True,58.770994,0.0057614421440765895,57.4805795,55.89680486666666,True,True,True,True,True,OK
2015-01-02,2014-12-31,JCI.N,True,True,True,40.891003,-0.008141096557654937,40.27381505,39.581576766666664,True,True,True,True,True,OK
2015-01-02,2014-12-31,JNPR.N^G25,True,True,True,22.32,-0.01543890604322895,22.069000000000003,21.2045,True,True,True,True,True,OK
2015-01-02,2014-12-31,META.OQ,True,True,True,78.02,-0.015147689977278556,77.92575000000001,76.39691666666667,True,True,True,True,True,OK
2015-01-02,2014-12-31,MSFT.OQ,True,True,True,46.45,-0.012122501063377311,47.38825,47.00358333333334,True,True,False,True,False,OK
2015-01-02,2014-12-31,MU.OQ,True,True,True,35.01,-0.011016949152542366,34.944,33.08425,True,True,True,True,True,OK
2015-01-02,2014-12-31,NTAP.OQ,True,True,True,41.45,-0.0026467757459095465,42.197250000000004,41.53941666666666,True,True,False,True,False,OK
2015-01-02,2014-12-31,NVDA.OQ,True,True,True,0.50125,-0.015709376534118857,0.51014375,0.489225,True,True,False,True,True,OK
2015-01-02,2014-12-31,ORCL.N,True,True,True,44.97,-0.008160564622849642,43.2445,40.8365,True,True,True,True,True,OK
2015-01-02,2014-12-31,QCOM.OQ,True,True,True,74.33,-0.009197547320714428,73.21125,73.11541666666668,True,True,True,True,True,OK
2015-01-02,2014-12-31,ROK.N,True,True,True,111.2,-0.010235870048954099,110.8715,109.712,True,True,True,True,True,OK
2015-01-02,2014-12-31,STX.OQ,True,True,True,66.5,-0.01115241635687736,66.545,62.413666666666664,True,True,False,True,True,OK
2015-01-02,2014-12-31,TT.N,True,True,True,49.176441,-0.013385206785191062,49.087226400000006,47.63872333333334,True,True,True,True,True,OK
2015-01-02,2014-12-31,TXN.OQ,True,True,True,53.465,-0.008622288151307167,54.359,50.84733333333334,True,True,False,True,True,OK
2015-01-02,2014-12-31,WDC.OQ,True,True,True,83.647577,-0.014335314409806399,82.34714795,75.72926695,True,True,True,True,True,OK
2015-01-05,2015-01-02,ADI.OQ,True,True,True,55.54,0.0003602305475502998,56.207499999999996,51.439,True,True,False,True,True,OK
2015-01-05,2015-01-02,AMT.N,True,True,True,99.67,0.008295397066262034,99.6545,98.638,True,True,True,True,True,OK
2015-01-05,2015-01-02,AMZN.OQ,True,True,True,15.426,-0.0058965683905267685,15.3325375,15.543779166666667,True,True,True,True,False,OK
2015-01-05,2015-01-02,APTV.N,True,True,True,51.504538,-0.0017876698342548236,51.36547075,49.32652775,True,True,True,True,True,OK
2015-01-05,2015-01-02,AVGO.OQ,True,True,True,10.009,-0.004970673029128014,10.06045,9.001983333333333,True,True,False,True,True,OK
2015-01-05,2015-01-02,CSCO.OQ,True,True,True,27.61,-0.007370124033794778,27.57475,25.91508333333333,True,True,True,True,True,OK
2015-01-05,2015-01-02,ETN.N,True,True,True,67.93,-0.0004414361389050159,67.79599999999999,66.24133333333333,True,True,True,True,True,OK
2015-01-05,2015-01-02,GOOG.OQ,True,True,True,26.168654,-0.0030205041645940955,26.09767335,26.6851937,True,True,True,True,False,OK
2015-01-05,2015-01-02,HON.OQ,True,True,True,94.236149,0.003102485188970716,93.5145459,90.43837141666667,True,True,True,True,True,OK
2015-01-05,2015-01-02,IBM.N,True,True,True,154.793878,0.0100972347090027,152.47378445,157.2067813,True,True,True,True,False,OK
2015-01-05,2015-01-02,INTC.OQ,True,True,True,36.36,0.0019289060347202902,36.79475000000001,34.899,True,True,False,True,True,OK
2015-01-05,2015-01-02,IRM.N,True,True,True,38.96,0.007759958613554163,38.3865,36.58772756666667,True,True,True,True,True,OK
2015-01-05,2015-01-02,ISRG.OQ,True,True,True,58.39655,-0.0063712381655481876,57.5192461,55.97700841666667,True,True,True,True,True,OK
2015-01-05,2015-01-02,JCI.N,True,True,True,40.657926,-0.0056999580078775924,40.281273500000005,39.60068906666666,True,True,True,True,True,OK
2015-01-05,2015-01-02,JNPR.N^G25,True,True,True,22.45,0.005824372759856589,22.076,21.22383333333333,True,True,True,True,True,OK
2015-01-05,2015-01-02,META.OQ,True,True,True,78.45,0.0055114073314534995,78.10425000000001,76.43291666666667,True,True,True,True,True,OK
2015-01-05,2015-01-02,MSFT.OQ,True,True,True,46.76,0.0066738428417651985,47.32225,47.02408333333333,True,True,False,True,False,OK
2015-01-05,2015-01-02,MU.OQ,True,True,True,34.75,-0.007426449585832606,34.8765,33.13233333333333,True,True,False,True,True,OK
2015-01-05,2015-01-02,NTAP.OQ,True,True,True,41.46,0.00024125452352219412,42.11325,41.56633333333333,True,True,False,True,False,OK
2015-01-05,2015-01-02,NVDA.OQ,True,True,True,0.50325,0.003990024937655878,0.5088812500000001,0.49014375,True,True,False,True,True,OK
2015-01-05,2015-01-02,ORCL.N,True,True,True,44.33,-0.014231710028908218,43.358,40.934333333333335,True,True,True,True,True,OK
2015-01-05,2015-01-02,QCOM.OQ,True,True,True,74.28,-0.0006726759047490649,73.20675,73.12825,True,True,True,True,True,OK
2015-01-05,2015-01-02,ROK.N,True,True,True,111.04,-0.0014388489208633226,110.527,109.798,True,True,True,True,True,OK
2015-01-05,2015-01-02,STX.OQ,True,True,True,66.02,-0.007218045112782012,66.5035,62.59316666666666,True,True,False,True,True,OK
2015-01-05,2015-01-02,TT.N,True,True,True,49.07559,-0.0020507990808037446,49.06589255,47.73323871666667,True,True,True,True,True,OK
2015-01-05,2015-01-02,TXN.OQ,True,True,True,53.48,0.0002805573739828038,54.251999999999995,50.97183333333333,True,True,False,True,True,OK
2015-01-05,2015-01-02,WDC.OQ,True,True,True,83.443558,-0.00243903060097006,82.6225729,75.94487166666666,True,True,True,True,True,OK
2015-01-06,2015-01-05,ADI.OQ,True,True,True,54.525,-0.018275117032769184,56.10275,51.55191666666667,True,True,False,True,True,OK
2015-01-06,2015-01-05,AMT.N,True,True,True,98.23,-0.014447677335206133,99.4855,98.68633333333332,True,True,False,True,False,OK
2015-01-06,2015-01-05,AMZN.OQ,True,True,True,15.1095,-0.020517308440295534,15.2956875,15.526687500000001,True,True,False,True,False,OK
2015-01-06,2015-01-05,APTV.N,True,True,True,49.255339,-0.0436699189496661,51.22462975,49.40126456666667,True,True,False,True,False,OK
2015-01-06,2015-01-05,AVGO.OQ,True,True,True,9.849,-0.01598561294834655,10.03755,9.0273,True,True,False,True,True,OK
2015-01-06,2015-01-05,CSCO.OQ,True,True,True,27.06,-0.019920318725099584,27.53925,25.955083333333334,True,True,False,True,True,OK
2015-01-06,2015-01-05,ETN.N,True,True,True,65.12,-0.04136611217429709,67.578,66.27983333333333,True,True,False,True,False,OK
2015-01-06,2015-01-05,GOOG.OQ,True,True,True,25.623151,-0.020845665199287655,26.039233799999998,26.636469133333332,True,True,False,True,False,OK
2015-01-06,2015-01-05,HON.OQ,True,True,True,92.440369,-0.01905616919893438,93.47035654999999,90.54602421666667,True,True,False,True,True,OK
2015-01-06,2015-01-05,IBM.N,True,True,True,152.35821,-0.015734911686882014,152.25696225,156.7315872166667,True,True,True,True,False,OK
2015-01-06,2015-01-05,INTC.OQ,True,True,True,35.95,-0.0112761276127612,36.71925,34.927,True,True,False,True,True,OK
2015-01-06,2015-01-05,IRM.N,True,True,True,39.15,0.004876796714579079,38.475,36.688957716666664,True,True,True,True,True,OK
2015-01-06,2015-01-05,ISRG.OQ,True,True,True,57.152108,-0.021310197263365693,57.53963494999999,56.02241573333333,True,True,False,True,True,OK
2015-01-06,2015-01-05,JCI.N,True,True,True,40.042603,-0.015134146291672756,40.2672889,39.58919061666667,True,True,False,True,True,OK
2015-01-06,2015-01-05,JNPR.N^G25,True,True,True,22.2,-0.011135857461024523,22.074,21.2405,True,True,True,True,True,OK
2015-01-06,2015-01-05,META.OQ,True,True,True,77.19,-0.016061185468451256,78.20174999999999,76.42741666666666,True,True,False,True,True,OK
2015-01-06,2015-01-05,MSFT.OQ,True,True,True,46.325,-0.00930282292557727,47.1965,47.0165,True,True,False,True,False,OK
2015-01-06,2015-01-05,MU.OQ,True,True,True,33.775,-0.028057553956834624,34.76175,33.15658333333333,True,True,False,True,True,OK
2015-01-06,2015-01-05,NTAP.OQ,True,True,True,40.05,-0.03400868306801741,41.95125,41.563166666666675,True,True,False,True,False,OK
2015-01-06,2015-01-05,NVDA.OQ,True,True,True,0.49475,-0.016890213611524985,0.50743125,0.49078125,True,True,False,True,True,OK
2015-01-06,2015-01-05,ORCL.N,True,True,True,43.59,-0.016692984434919844,43.443,41.01049999999999,True,True,True,True,True,OK
2015-01-06,2015-01-05,QCOM.OQ,True,True,True,73.93,-0.004711900915454925,73.23625000000001,73.10725000000001,True,True,True,True,True,OK
2015-01-06,2015-01-05,ROK.N,True,True,True,107.31,-0.03359149855907784,110.07750000000001,109.7855,True,True,False,True,False,OK
2015-01-06,2015-01-05,STX.OQ,True,True,True,65.67,-0.005301423810966321,66.48249999999999,62.736666666666665,True,True,False,True,True,OK
2015-01-06,2015-01-05,TT.N,True,True,True,48.222236,-0.01738856323479754,49.0224491,47.79219768333334,True,True,False,True,True,OK
2015-01-06,2015-01-05,TXN.OQ,True,True,True,52.645,-0.015613313388182393,54.11375,51.06691666666667,True,True,False,True,True,OK
2015-01-06,2015-01-05,WDC.OQ,True,True,True,82.340347,-0.013221044577221952,82.82092420000001,76.11249425,True,True,False,True,True,OK
2015-01-07,2015-01-06,ADI.OQ,True,True,True,53.25,-0.023383768913342484,55.898250000000004,51.66708333333334,True,True,False,True,True,OK
2015-01-07,2015-01-06,AMT.N,True,True,True,97.97,-0.002646849231395798,99.357,98.74,True,True,False,True,False,OK
2015-01-07,2015-01-06,AMZN.OQ,True,True,True,14.7645,-0.022833316787451596,15.2523375,15.509954166666667,True,True,False,True,False,OK
2015-01-07,2015-01-06,APTV.N,True,True,True,48.943147,-0.006338236754395266,51.068179150000006,49.486644266666666,True,True,False,True,False,OK
2015-01-07,2015-01-06,AVGO.OQ,True,True,True,9.625,-0.02274342572850041,9.998850000000001,9.053383333333333,True,True,False,True,True,OK
2015-01-07,2015-01-06,CSCO.OQ,True,True,True,27.05,-0.00036954915003684086,27.516750000000002,26.00275,True,True,False,True,True,OK
2015-01-07,2015-01-06,ETN.N,True,True,True,64.39,-0.011210073710073765,67.327,66.361,True,True,False,True,False,OK
2015-01-07,2015-01-06,GOOG.OQ,True,True,True,25.029282,-0.023177047975091014,25.981143299999996,26.587503566666665,True,True,False,True,False,OK
2015-01-07,2015-01-06,HON.OQ,True,True,True,92.224123,-0.0023393026481752788,93.39514065,90.67639848333333,True,True,False,True,True,OK
2015-01-07,2015-01-06,IBM.N,True,True,True,149.072445,-0.021566051478289383,151.9131032,156.24843341666667,True,True,False,True,False,OK
2015-01-07,2015-01-06,INTC.OQ,True,True,True,35.28,-0.018636995827538305,36.59975,34.95466666666667,True,True,False,True,True,OK
2015-01-07,2015-01-06,IRM.N,True,True,True,39.51,0.009195402298850519,38.583999999999996,36.811749250000005,True,True,True,True,True,OK
2015-01-07,2015-01-06,ISRG.OQ,True,True,True,57.754329,0.010537161638902282,57.6003293,56.10286001666667,True,True,True,True,True,OK
2015-01-07,2015-01-06,JCI.N,True,True,True,39.604418,-0.01094296991631627,40.22626735,39.58919061666666,True,True,False,True,True,OK
2015-01-07,2015-01-06,JNPR.N^G25,True,True,True,21.89,-0.013963963963963932,22.051499999999997,21.256333333333334,True,True,False,True,True,OK
2015-01-07,2015-01-06,META.OQ,True,True,True,76.15,-0.013473247830029678,78.19125,76.43141666666666,True,True,False,True,False,OK
2015-01-07,2015-01-06,MSFT.OQ,True,True,True,45.65,-0.014570966001079433,47.058,47.01316666666667,True,True,False,True,False,OK
2015-01-07,2015-01-06,MU.OQ,True,True,True,32.87,-0.02679496669133974,34.58075,33.19375,True,True,False,True,False,OK
2015-01-07,2015-01-06,NTAP.OQ,True,True,True,39.685,-0.009113607990012373,41.76525,41.565083333333334,True,True,False,True,False,OK
2015-01-07,2015-01-06,NVDA.OQ,True,True,True,0.47975,-0.030318342597271397,0.5050812499999999,0.49131458333333333,True,True,False,True,False,OK
2015-01-07,2015-01-06,ORCL.N,True,True,True,43.14,-0.010323468685478399,43.5035,41.08383333333334,True,True,False,True,True,OK
2015-01-07,2015-01-06,QCOM.OQ,True,True,True,72.88,-0.014202624103882178,73.21175,73.08725000000001,True,True,False,True,False,OK
2015-01-07,2015-01-06,ROK.N,True,True,True,106.08,-0.011462119094213019,109.667,109.83766666666666,True,True,False,True,False,OK
2015-01-07,2015-01-06,STX.OQ,True,True,True,63.86,-0.02756205268768086,66.3555,62.86383333333333,True,True,False,True,True,OK
2015-01-07,2015-01-06,TT.N,True,True,True,47.213727,-0.020913775130626533,48.91616775000001,47.85710426666667,True,True,False,True,False,OK
2015-01-07,2015-01-06,TXN.OQ,True,True,True,51.78,-0.01643081014341352,53.92375,51.16291666666667,True,True,False,True,True,OK
2015-01-07,2015-01-06,WDC.OQ,True,True,True,80.504181,-0.022299711707554404,82.87646255,76.27810185,True,True,False,True,True,OK
2015-01-08,2015-01-07,ADI.OQ,True,True,True,53.81,0.010516431924882719,55.77975,51.83975,True,True,False,True,True,OK
2015-01-08,2015-01-07,AMT.N,True,True,True,99.0,0.010513422476268186,99.2685,98.81150000000001,True,True,False,True,True,OK
2015-01-08,2015-01-07,AMZN.OQ,True,True,True,14.921,0.010599749398895852,15.2317875,15.499145833333333,True,True,False,True,False,OK
2015-01-08,2015-01-07,APTV.N,True,True,True,49.333387,0.007973332814091405,50.95430015,49.595201849999995,True,True,False,True,False,OK
2015-01-08,2015-01-07,AVGO.OQ,True,True,True,9.885,0.027012987012986933,9.98955,9.0992,True,True,False,True,True,OK
2015-01-08,2015-01-07,CSCO.OQ,True,True,True,27.3,0.009242144177449063,27.520249999999997,26.06875,True,True,False,True,True,OK
2015-01-08,2015-01-07,ETN.N,True,True,True,64.58,0.002950768752912003,67.16,66.45533333333333,True,True,False,True,False,OK
2015-01-08,2015-01-07,GOOG.OQ,True,True,True,24.986399,-0.0017133132304794074,25.91662045,26.55144423333333,True,True,False,True,False,OK
2015-01-08,2015-01-07,HON.OQ,True,True,True,92.891664,0.007238247199162773,93.39749115,90.84720130000001,True,True,False,True,True,OK
2015-01-08,2015-01-07,IBM.N,True,True,True,148.098178,-0.006535527072089042,151.58786985,155.75684233333334,True,True,False,True,False,OK
2015-01-08,2015-01-07,INTC.OQ,True,True,True,36.02,0.02097505668934252,36.54075,35.023166666666675,True,True,False,True,True,OK
2015-01-08,2015-01-07,IRM.N,True,True,True,39.57,0.0015186028853455547,38.697,36.943487,True,True,True,True,True,OK
2015-01-08,2015-01-07,ISRG.OQ,True,True,True,58.070995,0.005482982929297053,57.64210700000001,56.200248716666664,True,True,True,True,True,OK
2015-01-08,2015-01-07,JCI.N,True,True,True,40.238387,0.016007532290968074,40.2164781,39.606749066666666,True,True,True,True,True,OK
2015-01-08,2015-01-07,JNPR.N^G25,True,True,True,22.38,0.02238465052535399,22.0855,21.312,True,True,True,True,True,OK
2015-01-08,2015-01-07,META.OQ,True,True,True,76.15,0.0,78.17275000000001,76.48541666666667,True,True,False,True,False,OK
2015-01-08,2015-01-07,MSFT.OQ,True,True,True,46.23,0.01270536692223434,46.984750000000005,47.04983333333333,True,True,False,True,False,OK
2015-01-08,2015-01-07,MU.OQ,True,True,True,32.1,-0.02342561606327942,34.38475,33.26558333333333,True,True,False,True,False,OK
