feature_set,model,transformed_feature,base_feature,missing_indicator,importance
technical_plus_macro,logistic,vix_change_20d,vix_change_20d,False,0.09792321603438772
technical_plus_macro,logistic,vix_percentile_252d,vix_percentile_252d,False,0.011897625886214581
technical_plus_macro,logistic,dgs3mo_level,dgs3mo_level,False,0.011575788695116935
technical_plus_macro,logistic,dgs3mo_change_5d,dgs3mo_change_5d,False,0.12269789309010472
technical_plus_macro,logistic,dgs3mo_change_20d,dgs3mo_change_20d,False,0.17434939241216102
technical_plus_macro,logistic,dgs2_level,dgs2_level,False,0.0802151001738968
technical_plus_macro,logistic,dgs2_change_5d,dgs2_change_5d,False,0.09617449089177281
technical_plus_macro,logistic,dgs2_change_20d,dgs2_change_20d,False,0.005976327878184194
technical_plus_macro,logistic,dgs10_level,dgs10_level,False,0.052933218015960674
technical_plus_macro,logistic,dgs10_change_5d,dgs10_change_5d,False,0.07033227748333375
technical_plus_macro,logistic,dgs10_change_20d,dgs10_change_20d,False,0.13810173136665127
technical_plus_macro,logistic,broad_dollar_level,broad_dollar_level,False,0.08790300662387049
technical_plus_macro,logistic,broad_dollar_change_5d,broad_dollar_change_5d,False,0.0898188803595785
technical_plus_macro,logistic,broad_dollar_change_20d,broad_dollar_change_20d,False,0.05576718149652993
technical_plus_macro,logistic,broad_dollar_change_60d,broad_dollar_change_60d,False,0.10561450283021075
technical_plus_macro,logistic,term_spread_10y_2y,term_spread_10y_2y,False,0.06344398699634296
technical_plus_macro,logistic,term_spread_10y_3m,term_spread_10y_3m,False,0.06442221404111531
technical_plus_macro,logistic,missingindicator_spread_median_60_bps,spread_median_60_bps,True,0.17139628742379676
technical_plus_macro,random_forest,momentum_1,momentum_1,False,0.050863441605959264
technical_plus_macro,random_forest,momentum_5,momentum_5,False,0.045616578674327196
technical_plus_macro,random_forest,momentum_20,momentum_20,False,0.029812306964019472
technical_plus_macro,random_forest,momentum_60,momentum_60,False,0.024394491189472362
technical_plus_macro,random_forest,volatility_20_ann,volatility_20_ann,False,0.06830167139448377
technical_plus_macro,random_forest,volatility_60_ann,volatility_60_ann,False,0.04966017461319569
technical_plus_macro,random_forest,volume_median_20_log1p,volume_median_20_log1p,False,0.031233981285982124
technical_plus_macro,random_forest,volume_median_60_log1p,volume_median_60_log1p,False,0.034879365470186476
technical_plus_macro,random_forest,dollar_volume_median_20_log1p,dollar_volume_median_20_log1p,False,0.01808470876739411
technical_plus_macro,random_forest,dollar_volume_median_60_log1p,dollar_volume_median_60_log1p,False,0.014736360475486373
technical_plus_macro,random_forest,spread_median_20_bps,spread_median_20_bps,False,0.02116590165347645
technical_plus_macro,random_forest,spread_median_60_bps,spread_median_60_bps,False,0.014716046045679946
technical_plus_macro,random_forest,beta_126,beta_126,False,0.02695732806570915
technical_plus_macro,random_forest,idio_vol_126_ann,idio_vol_126_ann,False,0.026161692631304485
technical_plus_macro,random_forest,beta_obs_126,beta_obs_126,False,0.0
technical_plus_macro,random_forest,spy_momentum_1,spy_momentum_1,False,0.020602132468725155
technical_plus_macro,random_forest,spy_momentum_5,spy_momentum_5,False,0.011759793922998057
technical_plus_macro,random_forest,spy_momentum_20,spy_momentum_20,False,0.015413041481198835
technical_plus_macro,random_forest,spy_momentum_60,spy_momentum_60,False,0.07060253411325722
technical_plus_macro,random_forest,spy_volatility_20_ann,spy_volatility_20_ann,False,0.021675353975406753
technical_plus_macro,random_forest,spy_volatility_60_ann,spy_volatility_60_ann,False,0.022968676154171523
technical_plus_macro,random_forest,vix_level,vix_level,False,0.015933747137432706
technical_plus_macro,random_forest,vix_change_1d,vix_change_1d,False,0.012895428178223152
technical_plus_macro,random_forest,vix_change_5d,vix_change_5d,False,0.012724140250492996
technical_plus_macro,random_forest,vix_change_20d,vix_change_20d,False,0.015014127064639712
technical_plus_macro,random_forest,vix_percentile_252d,vix_percentile_252d,False,0.019309010955355754
technical_plus_macro,random_forest,dgs3mo_level,dgs3mo_level,False,0.01753442623645374
technical_plus_macro,random_forest,dgs3mo_change_5d,dgs3mo_change_5d,False,0.012439968973097985
technical_plus_macro,random_forest,dgs3mo_change_20d,dgs3mo_change_20d,False,0.018916525596381642
technical_plus_macro,random_forest,dgs2_level,dgs2_level,False,0.018968906544753444
technical_plus_macro,random_forest,dgs2_change_5d,dgs2_change_5d,False,0.013058748847351066
